description,funding,period,principal_investigator,title,url
"NEURONN

Two-Dimensional Oscillatory Neural Networks for Energy Efficent Neuromorphic Computing
IP: 
                  Bernabé Linares Barranco",,,"MEM-SCALES

Memory technologies with multi-scale time constants for neuromorphic architectures
 
                  Bernabé Linares Barranco","HERMES - NEURONN

Two-Dimensional Oscillatory Neural Networks for Energy Efficent Neuromorphic Computing
IP: 
                  Bernabé Linares Barranco",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=179
"MEM-SCALES

Memory technologies with multi-scale time constants for neuromorphic architectures
IP: 
                  Bernabé Linares Barranco",,,,"NEURONN - MEM-SCALES

Memory technologies with multi-scale time constants for neuromorphic architectures
IP: 
                  Bernabé Linares Barranco",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=193
"DORAITO

Desarrollo de Técnicas de IA para el Diseño, Optimización y Operación Autónoma de Interfaces RF-a-Digital en Dispositivos IoT
IP: 
                  Gustavo Liñán Cembrano",,,"DEEP-MaX-IMSE

Marco de Autoevaluación y Evaluación de Excelencia Científica y Social - IMSE
 
                  Teresa Serrano Gotarredona","MOMENTUM BLB - DORAITO

Desarrollo de Técnicas de IA para el Diseño, Optimización y Operación Autónoma de Interfaces RF-a-Digital en Dispositivos IoT
IP: 
                  Gustavo Liñán Cembrano",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=266
"DEEP-MaX-IMSE

Marco de Autoevaluación y Evaluación de Excelencia Científica y Social - IMSE
IP: 
                  Teresa Serrano Gotarredona",,,"ELEVATE

Estrategia de Optimización y Fortalecimiento de la Oficina de Proyectos en el Instituto de Microelectrónica de Sevilla
 
                  Teresa Serrano Gotarredona","DORAITO - DEEP-MaX-IMSE

Marco de Autoevaluación y Evaluación de Excelencia Científica y Social - IMSE
IP: 
                  Teresa Serrano Gotarredona",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=267
"ELEVATE

Estrategia de Optimización y Fortalecimiento de la Oficina de Proyectos en el Instituto de Microelectrónica de Sevilla
IP: 
                  Teresa Serrano Gotarredona",,,"TECHNOQUANTUM

Hardware-based Technologies to Secure Digital Systems in the Quantum World
 
                  Piedad Brox Jiménez","DEEP-MaX-IMSE - ELEVATE

Estrategia de Optimización y Fortalecimiento de la Oficina de Proyectos en el Instituto de Microelectrónica de Sevilla
IP: 
                  Teresa Serrano Gotarredona",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=270
"TECHNOQUANTUM

Hardware-based Technologies to Secure Digital Systems in the Quantum World
IP: 
                  Piedad Brox Jiménez",,,"ICOOP-2022

Transferencia a universidades cubanas de tecnologías avanzadas de diseño de sistemas embebidos para el fortalecimiento de las capacidades de innovación y de formación postgraduada
 
                  Piedad Brox Jiménez","ELEVATE - TECHNOQUANTUM

Hardware-based Technologies to Secure Digital Systems in the Quantum World
IP: 
                  Piedad Brox Jiménez",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=254
"ICOOP-2022

Transferencia a universidades cubanas de tecnologías avanzadas de diseño de sistemas embebidos para el fortalecimiento de las capacidades de innovación y de formación postgraduada
IP: 
                  Piedad Brox Jiménez",,,,"TECHNOQUANTUM - ICOOP-2022

Transferencia a universidades cubanas de tecnologías avanzadas de diseño de sistemas embebidos para el fortalecimiento de las capacidades de innovación y de formación postgraduada
IP: 
                  Piedad Brox Jiménez",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=268
Digital Signal Processing & VLSI Systems,,,,Analog Signal Processing - Digital Signal Processing & VLSI Systems,http://www.imse-cnm.csic.es/es/areas/analog-sp.php
Brain-Inspired Neural Networks and Artificial Intelligence,,,,Digital Signal Processing & VLSI Systems - Brain-Inspired Neural Networks and Artificial Intelligence,http://www.imse-cnm.csic.es/es/areas/digital-spvs.php
Sensory & Photonic Vision Systems,,,,Brain-Inspired Neural Networks and Artificial Intelligence - Sensory & Photonic Vision Systems,http://www.imse-cnm.csic.es/es/areas/brain-innai.php
Nanoelectronics and Emerging Technologies,,,,Sensory & Photonic Vision Systems - Nanoelectronics and Emerging Technologies,http://www.imse-cnm.csic.es/es/areas/sensory-pvs.php
Biomedical and Bioinspired Circuits and Systems,,,,Nanoelectronics and Emerging Technologies - Biomedical and Bioinspired Circuits and Systems,http://www.imse-cnm.csic.es/es/areas/nanoelectronics-et.php
Integrated Circuits for Space Applications,,,,Biomedical and Bioinspired Circuits and Systems - Integrated Circuits for Space Applications,http://www.imse-cnm.csic.es/es/areas/biomedical-bcs.php
Laboratorio de Optoelectrónica,,,,Laboratorio de Caracterización de Dispositivos - Laboratorio de Optoelectrónica,http://www.imse-cnm.csic.es/es/laboratorios/caracterizacion.php
Laboratorio de Radiofrecuencia,,,,Laboratorio de Optoelectrónica - Laboratorio de Radiofrecuencia,http://www.imse-cnm.csic.es/es/laboratorios/optoelectronica.php
Laboratorio de Medidas Analógico/Digitales,,,,Laboratorio de Radiofrecuencia - Laboratorio de Medidas Analógico/Digitales,http://www.imse-cnm.csic.es/es/laboratorios/radiofrecuencia.php
Laboratorio de Láser Pulsado,,,,Laboratorio de Medidas Analógico/Digitales - Laboratorio de Láser Pulsado,http://www.imse-cnm.csic.es/es/laboratorios/medidas-ad.php
Laboratorio de Ciberseguridad del Hardware,,,,Laboratorio de Láser Pulsado - Laboratorio de Ciberseguridad del Hardware,http://www.imse-cnm.csic.es/es/laboratorios/laser-pulsado.php
Laboratorio de Sistemas Complejos,,,,Laboratorio de Ciberseguridad del Hardware - Laboratorio de Sistemas Complejos,http://www.imse-cnm.csic.es/es/laboratorios/ciberseguridad.php
Taller de Montajes Especiales,,,,ATE Agilent 93000 - Taller de Montajes Especiales,http://www.imse-cnm.csic.es/es/laboratorios/agilent-93k.php
Taller de Encapsulado,,,,Taller de Montajes Especiales - Taller de Encapsulado,http://www.imse-cnm.csic.es/es/laboratorios/montajes-especiales.php
Taller de Mecanización y Montaje de PCBs,,,,Taller de Encapsulado - Taller de Mecanización y Montaje de PCBs,http://www.imse-cnm.csic.es/es/laboratorios/encapsulado.php
Agilent Advanced Design System,,,,Hspice - Agilent Advanced Design System,http://www.imse-cnm.csic.es/es/herramientas-cad.php
ContactoCondiciones de usofactura-e,,,,info » - ContactoCondiciones de usofactura-e,http://www.imse-cnm.csic.es/includes/ofml.php
